date,open,high,low,close,volume
8/20/2018,107.510002,107.900002,106.480003,106.870003,17914200
8/21/2018,106.919998,107.349998,105.849998,105.980003,22881900
8/22/2018,105.849998,107.339996,105.779999,107.059998,18000600
8/23/2018,107.150002,108.18,106.870003,107.559998,18167700
8/24/2018,107.669998,108.559998,107.559998,108.400002,17234000
8/27/2018,109.269997,109.639999,108.510002,109.599998,19662300
8/28/2018,109.940002,110.5,109.790001,110.260002,19151500
8/29/2018,110.449997,112.029999,110.269997,112.019997,20818000
8/30/2018,111.669998,112.610001,111.440002,111.949997,22798700
8/31/2018,111.690002,112.779999,111.519997,112.330002,23222700
9/4/2018,110.849998,111.959999,110.220001,111.709999,22634600
9/5/2018,111.010002,111.419998,108.099998,108.489998,32872400
9/6/2018,108.25,108.989998,107.510002,108.739998,23477600
9/7/2018,108.230003,108.720001,107.230003,108.209999,22498600
9/10/2018,108.839996,109.639999,108.360001,109.379997,20727900
9/11/2018,108.900002,111.589996,108.889999,111.239998,24301800
9/12/2018,111.43,111.849998,110.510002,111.709999,18891100
9/13/2018,112.120003,113.730003,112.120003,112.910004,26055600
9/14/2018,113.360001,113.730003,112.440002,113.370003,19122300
9/17/2018,113.690002,113.699997,111.860001,112.139999,20736500
9/18/2018,112.190002,113.699997,111.720001,113.209999,22170900
9/19/2018,113.050003,113.32,111.040001,111.699997,21728400
9/20/2018,112.279999,113.800003,111.93,113.57,23714500
9/21/2018,114,115.290001,113.510002,114.260002,71229700
9/24/2018,113.029999,114.900002,112.220001,114.669998,27334500
9/25/2018,114.800003,115.099998,113.75,114.449997,22668000
9/26/2018,114.470001,115.059998,113.739998,113.980003,19352000
9/27/2018,114.779999,114.910004,114.199997,114.410004,19091300
9/28/2018,114.190002,114.57,113.68,114.370003,21647800
10/1/2018,114.75,115.68,114.730003,115.610001,18883100
10/2/2018,115.300003,115.839996,114.440002,115.150002,20787200
10/3/2018,115.419998,116.18,114.93,115.169998,16648000
10/4/2018,114.610001,114.760002,111.629997,112.790001,34821700
10/5/2018,112.629997,113.169998,110.639999,112.129997,29068900
10/8/2018,111.660004,112.029999,109.339996,110.849998,29640600
10/9/2018,111.139999,113.080002,110.800003,112.260002,26198600
10/10/2018,111.239998,111.5,105.790001,106.160004,61376300
10/11/2018,105.349998,108.93,104.199997,105.910004,63904300
10/12/2018,109.010002,111.239998,107.120003,109.57,47742100
10/15/2018,108.910004,109.480003,106.949997,107.599998,32068100
10/16/2018,109.540001,111.410004,108.949997,111,31610200
10/17/2018,111.68,111.809998,109.550003,110.709999,26548200
10/18/2018,110.099998,110.529999,107.830002,108.5,32506200
10/19/2018,108.93,110.860001,108.209999,108.660004,32785500
10/22/2018,109.32,110.540001,108.239998,109.629997,26545600
10/23/2018,107.769997,108.970001,105.110001,108.099998,43770400
10/24/2018,108.410004,108.489998,101.589996,102.32,63897800
10/25/2018,106.550003,109.269997,106.150002,108.300003,61646800
10/26/2018,105.690002,108.75,104.760002,106.959999,55523100
10/29/2018,108.110001,108.699997,101.629997,103.849998,55162000
10/30/2018,103.660004,104.379997,100.110001,103.730003,65350900
10/31/2018,105.440002,108.139999,105.389999,106.809998,51062400
11/1/2018,107.050003,107.32,105.529999,105.919998,33384200
